iteration;fitness;hashCode;viable;numPass;numFail;passing;failing;time;now
NaN;0.9111111111111111;-1402672653;true;0;1;;"test0";11416;1689634410353
0;-554454236;true;0.001018329938900205;0;1;;"test0";11551;92066
0;827228441;true;0.06754385964912281;0;1;;"test0";12015;92066
0;50991394;true;0.06754385964912281;0;1;;"test0";11716;92066
0;1283383252;true;0.06770833333333333;0;1;;"test0";11750;92066
0;-1811175582;true;0.100390625;0;1;;"test0";13855;92066
0;652457504;true;0.1671497584541063;0;1;;"test0";10808;92066
0;1902228645;true;0.3006535947712418;0;1;;"test0";15315;92066
0;1508083268;true;0.46744186046511627;0;1;;"test0";13807;92066
0;-347358181;true;0.46774193548387094;0;1;;"test0";16845;92066
0;-502358300;true;0.46774193548387094;0;1;;"test0";16700;92066
0;1545230361;true;0.5;0;1;;"test0";15676;92066
0;1947957489;true;0.5;0;1;;"test0";14404;92066
0;2056047440;true;0.5343731946851531;0;1;;"test0";14011;92066
0;511624247;true;0.667479674796748;0;1;;"test0";16172;92066
0;1888038769;true;0.7;0;1;;"test0";18091;92066
0;-1893475737;true;0.9111111111111111;0;1;;"test0";23645;92066
0;994414147;true;0.9111111111111111;0;1;;"test0";29923;92066
0;-889388916;true;0.9111111111111111;0;1;;"test0";29759;92066
0;-1402672653;true;0.9111111111111111;0;1;;"test0";33382;92066
0;1993903214;true;0.9111111111111111;0;1;;"test0";20734;92066
0;-676299058;true;0.9111111111111111;0;1;;"test0";29878;92066
0;1642566792;true;0.9111111111111111;0;1;;"test0";24107;92066
0;-1402672653;true;0.9111111111111111;0;1;;"test0";31095;92066
0;819030572;true;0.9111111111111111;0;1;;"test0";30501;92066
0;-576561013;true;0.9111111111111111;0;1;;"test0";23524;92066
0;-1402672653;true;0.9111111111111111;0;1;;"test0";2;92066
0;-2038266069;true;0.9111111111111111;0;1;;"test0";30003;92066
0;-1402672653;true;0.9111111111111111;0;1;;"test0";31521;92066
0;-1402672653;true;0.9111111111111111;0;1;;"test0";31538;92066
0;479860815;true;0.9111111111111111;0;1;;"test0";33020;92066
0;119537013;true;0.9111111111111111;0;1;;"test0";33224;92066
0;-884123252;true;0.0002482375136530638;0;1;;"test0";10990;160296
0;-689841184;true;0.0010909884355225848;0;1;;"test0";10942;160296
0;730596676;true;0.004166666666666663;0;1;;"test0";9702;160296
0;1394780558;true;0.06754385964912281;0;1;;"test0";11296;160296
0;1482597206;true;0.06774193548387096;0;1;;"test0";11440;160296
0;-446903349;true;0.06944444444444445;0;1;;"test0";11125;160296
0;724044040;true;0.07142857142857142;0;1;;"test0";11898;160296
0;1867612693;true;0.100390625;0;1;;"test0";11945;160296
0;-1196758692;true;0.100390625;0;1;;"test0";11608;160296
0;-1811175582;true;0.100390625;0;1;;"test0";10058;160296
0;1902228645;true;0.3006535947712418;0;1;;"test0";12980;160296
0;-183825846;true;0.3006535947712418;0;1;;"test0";12430;160296
0;-1359986197;true;0.3006535947712418;0;1;;"test0";12379;160296
0;-1449686355;true;0.46744186046511627;0;1;;"test0";13851;160296
0;1841066367;true;0.46744186046511627;0;1;;"test0";14758;160296
0;1508083268;true;0.46744186046511627;0;1;;"test0";14805;160296
0;1545230361;true;0.5;0;1;;"test0";14168;160296
0;-1959688581;true;0.5;0;1;;"test0";14817;160296
0;77767804;true;0.5;0;1;;"test0";14732;160296
0;1947957489;true;0.5;0;1;;"test0";14353;160296
0;-509557257;true;0.601736111111111;0;1;;"test0";15202;160296
0;1717678182;true;0.667479674796748;0;1;;"test0";16418;160296
0;433055003;true;0.667479674796748;0;1;;"test0";14218;160296
0;511624247;true;0.667479674796748;0;1;;"test0";15326;160296
0;1552857051;true;0.667479674796748;0;1;;"test0";13795;160296
0;-1953522178;true;0.667479674796748;0;1;;"test0";13822;160296
0;1367568055;true;0.667479674796748;0;1;;"test0";10988;160296
0;-1616220243;true;0.7;0;1;;"test0";14334;160296
0;479860815;true;0.9111111111111111;0;1;;"test0";2;160296
0;1939054179;true;0.9111111111111111;0;1;;"test0";17268;160296
0;119537013;true;0.9111111111111111;0;1;;"test0";2;160296
0;-176490832;true;0.9111111111111111;0;1;;"test0";28434;160296
0;-1402672653;true;0.9111111111111111;0;1;;"test0";21138;160296
